name,description,price,category,images,link
HYALU B5 PURE HYALURONIC ACID SERUM,"This anti-aging ultra hydrating pure hyaluronic acid face and neck serum leaves skin feeling plump to the touch and helps repair skin by replenishing the natural moisture barrier. This serum combines concentrated pure hyaluronic acid, madecassoside and vitamin B5 for optimal effectiveness while also being suitable for sensitive skin.",700000,face,,https://www.laroche-posay.us/our-products/anti-aging/anti-aging-serum/hyalu-b5-pure-hyaluronic-acid-serum-hyaluB5serum.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw4417c2fe/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw03cffc5b/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw708ee1d5/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwacaa15cb/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-6.jpg?sw=465&sfrm=jpg&q=70,
TOLERIANE DOUBLE REPAIR FACE MOISTURIZER,"Toleriane Double Repair Face Moisturizer is formulated with dermatologist-recommended ingredients including ceramide-3, niacinamide, glycerin and La Roche-Posay Prebiotic Thermal Water. Double action helps repair skin’s natural protective barrier after 1-hour and provide up to 48-hour hydration. Its lightweight cream texture easily absorbs into the skin to provide immediate comfort. Suitable for all skin types, including sensitive. This face moisturizer helps restore healthy-looking skin.",600000,face,,https://www.laroche-posay.us/our-products/face/face-moisturizer/toleriane-double-repair-face-moisturizer-3337875545792.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwe60cebd2/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw8c34860d/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-NEW.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw8a0a32b6/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-2-model-application-NEW.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw255d1382/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-5.jpg?sw=465&sfrm=jpg&q=70,
TOLERIANE ULTRA MOISTURIZING CREAM,"Tested on allergy-prone, ultra-sensitive skin, Toleriane Ultra Face Cream helps to soothe and hydrate dry skin. Formulated with La Roche-Posay Thermal Spring Water and Neurosensine to provide instant & long-lasting comfort leaving skin feeling smooth, soft, and more comfortable. This comforting face cream is formulated without ingredients that may cause potential irritation or allergic reactions, such as preservatives, parabens, fragrance, and drying alcohol. Its unique airtight packaging contains anti-contamination valves that prevent air or contaminants from re-entering.",500000,face,,https://www.laroche-posay.us/our-products/face/face-moisturizer/toleriane-ultra-moisturizing-cream-3337872412486.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw6a9884d9/img/3337872412486/la-roche-posay-toleriane-ultra-moisturizing-cream-for-face-3337872412486-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw39c1d167/img/3337872412486/la-roche-posay-toleriane-ultra-moisturizing-cream-for-face-3337872412486-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwb3ce2059/img/3337872412486/la-roche-posay-toleriane-ultra-moisturizing-cream-for-face-3337872412486-6.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw091645f1/img/3337872412486/la-roche-posay-toleriane-ultra-moisturizing-cream-for-face-3337872412486-7.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS MINERAL TINTED SUNSCREEN FOR FACE SPF 50,This lightweight 100% mineral tinted face sunscreen with titanium dioxide was developed for sensitive skin. The fast-absorbing texture leaves a tinted matte finish on skin for a healthy glow. It is formulated with Cell-Ox Shield® technology: broad spectrum UVA/UVB protection with antioxidants.,700000,sun,,https://www.laroche-posay.us/our-products/sun/tinted-sunscreen/anthelios-mineral-tinted-sunscreen-for-face-spf-50-883140020899.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw35e1c102/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw5996fb00/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw767e1f10/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw0128b342/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-4.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS AOX ANTIOXIDANT SERUM WITH SPF 50 SUNSCREEN,"This innovative serum provides advanced protection to help visibly improve the appearance of fine lines, dark spots, and skin texture. Our unique serum texture feels weightless on skin and can be worn alone, with a moisturizer, or under make-up. It is formulated with Cell-Ox Shield® Technology and a potent antioxidant complex.",400000,sun,,https://www.laroche-posay.us/our-products/sun/face-sunscreen/anthelios-aox-antioxidant-serum-with-spf-50-sunscreen-3606000403703.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw0ec19573/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwf7a84e49/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw65e72064/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw4b648526/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-4.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS MELT-IN MILK SUNSCREEN SPF 60,"Multi-award winning sunscreen with advanced protection in a fast-absorbing, velvety texture that leaves skin hydrated and smooth. Our most popular, best sunscreen, for face and body is formulated with Cell-Ox Shield® technology: broad spectrum UVA/UVB protection with antioxidants.",450000,sun,,https://www.laroche-posay.us/our-products/sun/body-sunscreen/anthelios-melt-in-milk-sunscreen-spf-60-antheliosmeltinmilk.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwb7c16d27/img/antheliosmeltinmilk/883140500322-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw0e35fe85/img/antheliosmeltinmilk/883140500322-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw25e978a1/img/antheliosmeltinmilk/883140500322-4.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw6c3b6136/img/antheliosmeltinmilk/883140500322-5.jpg?sw=465&sfrm=jpg&q=70,
REDERMIC R RETINOL CREAM,"This anti-aging pure retinol face cream helps visibly reduce the appearance of fine lines, wrinkles & age spots. This award-winning formula also helps visibly diminish premature sun damage and is gentle enough for sensitive skin.",350000,face,,https://www.laroche-posay.us/our-products/anti-aging/anti-aging-moisturizer/redermic-r-retinol-cream-3337872413063.html
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw5bab23c8/img/3337872413063/la-roche-posay-redermic-retinol-face-cream-3337872413063-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwc6a316e2/img/3337872413063/la-roche-posay-redermic-retinol-face-cream-3337872413063-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw822fa03d/img/3337872413063/la-roche-posay-redermic-retinol-face-cream-3337872413063-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwebd2a551/img/3337872413063/la-roche-posay-redermic-retinol-face-cream-3337872413063-5.jpg?sw=465&sfrm=jpg&q=70,
